posting_day,video_count,average_views,median_views,average_engagement_rate,median_engagement_rate
Friday,15,54580.13333333333,38501.0,7.051237887567608,6.942151197075126
Monday,15,75303.86666666667,66764.0,6.765577966185957,6.461566113474328
Saturday,15,73685.53333333334,46784.0,7.167698198088604,7.289885796348218
Sunday,18,69909.72222222222,40607.0,7.230327347371567,7.193827312923993
Thursday,13,66996.53846153847,37409.0,7.566945126392155,8.123713544868883
Tuesday,12,84330.83333333333,42069.5,7.742868874387367,7.7270772111152795
Wednesday,12,100614.33333333333,47835.0,6.472730179523467,6.706351919549569
