topic,comment_count,relatable_comment_count,relatable_comment_rate,average_relatability_score,average_polarity
Procrastination and Productivity,200,31,15.5,1.085,0.08249208760482647
Burnout and Mental Pressure,1700,255,15.0,1.2129411764705882,0.07014645744886601
Career and Job Anxiety,1178,161,13.66723259762309,1.0976230899830222,0.11131411059972253
Relationships and Social Life,3162,424,13.409234661606579,1.0686274509803921,0.10922793006896966
Academic Pressure,1009,121,11.992071357779981,0.9117938553022795,0.091824728767651
Other,2086,231,11.073825503355705,0.8667305848513902,0.08435299805552855
