topic,video_count,average_views,median_views,average_engagement_rate,median_engagement_rate,average_virality_score,median_virality_score
Procrastination and Productivity,2,271631.5,271631.5,7.484416244428148,7.484416244428148,4.590523114657157,4.590523114657157
Career and Job Anxiety,13,57288.92307692308,47286.0,7.729724947932786,7.7346345514950166,3.998107238001045,3.3314338369019616
Other,22,53942.181818181816,44064.0,7.56788240769998,7.73312132506501,3.6104806624350307,3.547296934169541
Burnout and Mental Pressure,19,92846.57894736843,48206.0,6.702101154411646,6.716708656918002,3.3877763382208173,2.7984898145459076
Academic Pressure,12,83336.16666666667,46009.0,6.545184972551653,6.355867468865631,3.2720024166326698,3.3665584760338363
Relationships and Social Life,32,67604.65625,43662.0,7.063758341703925,7.186217118893044,3.1783607065660817,2.8926965267565605
